,lon,lat,ele,sun,hum,pre,rai,N,cod
914,72.8702777778,-6.42611111111,2000,0,0,6,3,2,24030200
915,72.6972222222,-6.83611111111,2440,0,0,7,6,2,24030210
916,72.9758333333,-5.61611111111,2470,0,0,2,6,2,24030230
917,72.6891666667,-6.23166666667,2550,0,0,11,3,2,24030240
918,72.4444444444,-6.40666666667,2749,0,0,2,6,2,24030260
919,72.8441666667,-6.83,1702,0,0,6,3,2,24030270
920,72.5811111111,-6.49388888889,1856,0,0,7,6,2,24030290
921,72.975,-6.75305555556,600,0,0,11,4,2,24030300
922,73.3238888889,-5.62888888889,2820,0,0,2,6,2,24030310
923,72.63,-6.6275,1976,0,0,7,3,2,24030320
924,72.9316666667,-6.93972222222,2050,0,0,7,6,2,24030330
925,72.8113888889,-6.67166666667,2150,0,0,3,3,2,24030340
926,73.0355555556,-5.83416666667,2540,0,0,2,3,2,24030350
927,72.8347222222,-6.18833333333,3080,0,0,11,3,2,24030370
928,73.2347222222,-5.75138888889,2860,0,0,11,6,2,24030380
929,72.9855555556,-5.86861111111,2690,0,0,2,3,2,24030400
930,73.0047222222,-5.74361111111,2500,0,0,2,4,2,24030410
931,73.3105555556,-5.51888888889,2873,0,0,2,2,2,24030420
932,73.3233333333,-5.60611111111,2645,0,0,2,6,2,24030450
933,73.2816666667,-5.55861111111,2900,0,0,2,6,2,24030500
934,73.0716666667,-5.69916666667,2900,0,0,2,6,2,24030510
935,73.2333333333,-5.68472222222,2580,0,0,2,6,2,24030530
936,72.9783333333,-5.66527777778,2486,0,0,2,6,2,24030540
937,73.2,-5.56666666667,2675,0,0,2,6,2,24030550
938,72.7922222222,-5.75972222222,2900,0,0,11,5,2,24030560
939,72.6352777778,-6.06194444444,2328,0,0,2,4,2,24030570
940,72.5902777778,-6.13972222222,2962,0,0,11,6,2,24030580
941,72.9383333333,-5.96222222222,2643,0,0,2,3,2,24030590
942,73.05,-5.85,2590,0,0,2,6,2,24030610
943,72.8216666667,-6.96027777778,2362,0,0,7,3,2,24030630
944,72.7697222222,-5.81555555556,3200,0,0,11,5,2,24030640
945,72.8555555556,-6.03361111111,2833,0,0,2,6,2,24030650
946,72.4186111111,-6.37583333333,3409,0,0,11,3,2,24030660
947,72.7708333333,-6.13944444444,3240,0,0,11,6,2,24030670
948,72.5908333333,-6.65333333333,2310,0,0,7,3,2,24030680
949,72.6438888889,-5.98833333333,3052,0,0,2,6,2,24030690
950,72.7327777778,-6.51472222222,2400,0,0,7,6,2,24030700
951,72.7166666667,-6.55,1100,0,0,5,6,2,24030730
952,72.65,-6.48333333333,1397,0,0,5,6,2,24030740
953,72.8583333333,-6.88111111111,2362,0,0,6,6,2,24030750
954,72.9166666667,-5.63333333333,3225,0,0,2,6,2,24030760
955,73.1261111111,-5.62333333333,2836,0,0,2,4,2,24030770
956,73.2166666667,-5.6,2690,0,0,2,6,2,24030780
957,72.94,-5.77333333333,2500,0,0,2,6,2,24030790
958,73.1633333333,-5.53361111111,3200,0,0,2,6,2,24030800
959,73.2008333333,-5.65111111111,2780,0,0,2,3,2,24030820
960,72.6166666667,-6.45,1100,0,0,5,6,2,24030830
961,73.0822222222,-5.89138888889,3650,0,0,11,3,2,24030840
